box,title,address,type,types,kosher,phone,image-src
פלורנטינה,"פלורנטינה, פלורנטין, תל אביב","אברבנאל 56, פלורנטין, תל אביב",בית קפה,"אוכל איטלקי , אוכל טבעוני , אוכל צמחוני , דגים וקפה",כשר,053-9418810,https://images.rest.co.il/Rests/staticmaps/80240115/s1w566h250lon34.767108lat32.056995.png
מפגש אורית,"מפגש אורית, תל אביב","אלנבי 119, תל אביב",בית קפה,null,null,03-5604012,https://images.rest.co.il/Rests/staticmaps/22165470/s1w566h250lon34.77345lat32.061474.png
חומוס המשורר - Hameshorer Hummus,"חומוס המשורר - Hameshorer Hummus, תל אביב","בצרון 13, תל אביב",חומוס,null,null,053-9378324,https://images.rest.co.il/Rests/staticmaps/80281657/s1w566h250lon34.797818lat32.066353.png
פטרוZיליה,"פטרוZיליה, שדרות רוטשילד, תל אביב","שד' רוטשילד 47, תל אביב",מסעדה ים תיכונית,null,כשר,053-9438878,https://images.rest.co.il/Rests/staticmaps/30362660/s1w566h250lon34.775086lat32.064272.png
דלאל - Dallal,"דלאל - Dallal, תל אביב  פינת רמז","ז'בוטינסקי 108, תל אביב",בית קפה,null,כשר,053-9386121,https://images.rest.co.il/Rests/staticmaps/80295118/s1w566h250lon34.786253lat32.087301.png
אורין - פיצה עם נשמה,"אורין - פיצה עם נשמה, תל אביב",תל אביב,פיצריה,null,null,052-9127984,https://images.rest.co.il/Rests/staticmaps/80121554/s1w566h250lon34.778934lat32.066236.png
בורגרים - Burgerim,"בורגרים - Burgerim, תל אביב","קרליבך 25, תל אביב",מסעדת המבורגרים,בשרים והמבורגר,null,053-9439446,https://images.rest.co.il/Rests/staticmaps/80287254/s1w566h250lon34.778934lat32.066236.png
cofix,"cofix, דיזנגוף, תל אביב","דיזנגוף 50, תל אביב",בית קפה,null,כשר,053-9377296,https://images.rest.co.il/Rests/staticmaps/80242339/s1w566h250lon34.775501lat32.075167.png
הזקן והים,"הזקן והים, יפו, תל אביב","קדם 85, יפו, תל אביב",מסעדת דגים,"אוכל צמחוני , בשרים , דגים ופירות ים",₪₪,053-9427412,https://images.rest.co.il/Rests/staticmaps/80126957/s1w566h250lon34.747803lat32.043207.png
בלאק טאי,"בלאק טאי, רחוב הארבעה, תל אביב","הארבעה 10, תל אביב",פאב-בר,null,null,052-3510544,https://images.rest.co.il/Rests/staticmaps/80180351/s1w566h250lon34.783784lat32.070333.png
מקדונלד'ס,"מקדונלד'ס, נמל תל-אביב","האנגר 17, נמל תל-אביב",מסעדת המבורגרים,null,₪,053-4293986,https://images.rest.co.il/Rests/staticmaps/80247037/s1w566h250lon34.775338lat32.099212.png
ארומה,"ארומה, תל אביב  קניון TLV","החשמונאים 96, תל אביב",בית קפה,null,₪,053-9386025,https://images.rest.co.il/Rests/staticmaps/80298233/s1w566h250lon34.785939lat32.06928.png
דומינו'ס פיצה,"דומינו'ס פיצה, פלורנטין, תל אביב","פלורנטין 25, תל אביב",פיצריה,null,₪,053-9380627,https://images.rest.co.il/Rests/staticmaps/80279981/s1w566h250lon34.769488lat32.056303.png
בא לי חומוס,"בא לי חומוס, תל אביב","בן יהודה 43, תל אביב",null,null,null,054-3540835,https://images.rest.co.il/Rests/staticmaps/80321717/s1w566h250lon34.778934lat32.066236.png
דרך השלום,"דרך השלום, תל אביב","דרך השלום 7, תל אביב",מסעדת בשרים,null,כשר,053-9380481,https://images.rest.co.il/Rests/staticmaps/80179416/s1w566h250lon34.796286lat32.072047.png
המטבח של סימה,"המטבח של סימה, רמת אביב, תל אביב  קניון רמת אביב","איינשטיין 40, רמת אביב, תל אביב",מסעדה מזרחית,null,null,03-6437239,https://images.rest.co.il/Rests/staticmaps/37273510/s1w566h250lon34.796078lat32.112774.png
מ.א.ש.,"מ.א.ש., תל אביב","הירקון 98, תל אביב",פאב-בר,null,₪,053-9439676,https://images.rest.co.il/Rests/staticmaps/4164610/s1w566h250lon34.767886lat32.078915.png
נולה קפה,"נולה קפה, דיזנגוף, תל אביב","דיזנגוף 197, תל אביב",null,null,null,03-5230527,https://images.rest.co.il/Rests/staticmaps/80134814/s1w566h250lon34.77489lat32.086988.png
לה קורטדו - La coratado,"לה קורטדו - La coratado, נחלת בנימין, תל אביב","נחלת בנימין 53, תל אביב",בית קפה,null,null,053-9374526,https://images.rest.co.il/Rests/staticmaps/80262329/s1w566h250lon34.771293lat32.064371.png
וניליה - Vaniglia,"וניליה - Vaniglia, מתחם בזל, תל אביב  מתחם באזל","אשתורי הפרחי 22, מתחם בזל, תל אביב",גלידריה,null,null,053-7104161,https://images.rest.co.il/Rests/staticmaps/80021715/s1w566h250lon34.78036lat32.090744.png
טוני וספה פיצה,"טוני וספה פיצה, רחוב הארבעה, תל אביב","הארבעה 8, תל אביב",פיצריה,null,₪₪,*2045,https://images.rest.co.il/Rests/staticmaps/80238769/s1w566h250lon34.783546lat32.070333.png
סוליקה,"סוליקה, תל אביב  מרכז שוסטר","אבא אחימאיר 19, תל אביב",null,null,null,03-7988588,https://images.rest.co.il/Rests/staticmaps/80329413/s1w566h250lon34.778934lat32.066236.png
בר אוכל,"בר אוכל, תל אביב","הכרמל 38, תל אביב",null,null,₪,053-9387064,https://images.rest.co.il/Rests/staticmaps/80304818/s1w566h250lon34.767904lat32.067769.png
קפה דיזנגוף,"קפה דיזנגוף, דיזנגוף, תל אביב","דיזנגוף 190, תל אביב",בית קפה,null,null,053-9444009,https://images.rest.co.il/Rests/staticmaps/80188976/s1w566h250lon34.774717lat32.08577.png
גסט רום - Guest Room,"גסט רום - Guest Room, תל אביב","מקוה ישראל 26, תל אביב",פאב-בר,null,null,053-9375611,https://images.rest.co.il/Rests/staticmaps/80271023/s1w566h250lon34.77727lat32.062684.png
מוזנר,"מוזנר, תל אביב","אחד העם 51, תל אביב",פאב-בר,null,null,053-9372433,https://images.rest.co.il/Rests/staticmaps/80198268/s1w566h250lon34.776451lat32.066381.png
BUNZ,"BUNZ, תל אביב","הרצל 17, תל אביב",מסעדה אסייאתית,null,null,053-9378962,https://images.rest.co.il/Rests/staticmaps/80279124/s1w566h250lon34.770325lat32.061597.png
רוסטיק לחמים וקפה - Rusticafe,"רוסטיק לחמים וקפה - Rusticafe, תל אביב","יגאל אלון 65, תל אביב",בית קפה,null,כשר,053-4277633,https://images.rest.co.il/Rests/staticmaps/80244250/s1w566h250lon34.792499lat32.065877.png
נשיקות,"נשיקות, צפון תל אביב","יוניצמן 2, צפון תל אביב",קונדיטוריה-מאפיה,null,null,052-3077773,https://images.rest.co.il/Rests/staticmaps/80256635/s1w566h250lon34.797918lat32.142268.png
מנו ומאיר גריל בר,"מנו ומאיר גריל בר, יד אליהו, תל אביב","השלושה 11, יד אליהו, תל אביב",מסעדת בשרים,null,כשר,053-9348236,https://images.rest.co.il/Rests/staticmaps/80308005/s1w566h250lon34.791129lat32.062058.png
מולי בלום,"מולי בלום, תל אביב","מנדלי מוכר ספרים 2, תל אביב",פאב-בר,בשרים והמבורגר,null,053-9347115,https://images.rest.co.il/Rests/staticmaps/80320772/s1w566h250lon34.768007lat32.079121.png
בלאק - Black,"בלאק - Black, קניון עזריאלי, תל אביב  קניון עזריאלי קומה 1","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",מסעדת בשרים,null,כשר,053-9442859,https://images.rest.co.il/Rests/staticmaps/80053998/s1w566h250lon34.791061lat32.074354.png
אל דנטה,"אל דנטה , ויצמן סיטי, תל אביב  קניון ויצמן סיטי","ויצמן 14, ויצמן סיטי, תל אביב",מסעדה איטלקית,null,כשר,053-9373260,https://images.rest.co.il/Rests/staticmaps/74108060/s1w566h250lon34.789088lat32.082243.png
לה פרינה הטבעונית,"לה פרינה הטבעונית, מתחם שרונה, תל אביב","אלוף קלמן מגן 3, מתחם שרונה, תל אביב",קונדיטוריה-מאפיה,null,₪,053-9388088,https://images.rest.co.il/Rests/staticmaps/80303114/s1w566h250lon34.787057lat32.071492.png
דודו אוטמזגין,"דודו אוטמזגין, אבן גבירול, תל אביב  גן העיר","אבן גבירול 71, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9439209,https://images.rest.co.il/Rests/staticmaps/80041492/s1w566h250lon34.781157lat32.082798.png
המזג - בר אלכוהול,"המזג - בר אלכוהול, אבן גבירול, תל אביב","אבן גבירול 151, תל אביב",פאב-בר,null,null,053-9366242,https://images.rest.co.il/Rests/staticmaps/80116175/s1w566h250lon34.782681lat32.090731.png
ארנולד,"ארנולד, צפון תל אביב","בכור שלום שיטרית 6, צפון תל אביב",פאב-בר,"בשרים , דגים ופירות ים",₪₪,053-6114525,https://images.rest.co.il/Rests/staticmaps/2708190/s1w566h250lon34.81746lat32.106053.png
קרמרי דה ל'אקלר,"קרמרי דה ל'אקלר, דיזנגוף, תל אביב","המלך ג'ורג' 53, דיזנגוף, תל אביב",גלידריה,null,null,053-6130811,https://images.rest.co.il/Rests/staticmaps/71694930/s1w566h250lon34.775524lat32.074368.png
אהובה - חמארה ים תיכונית,"אהובה - חמארה ים תיכונית, יפו, תל אביב","רבי פנחס 13, יפו, תל אביב",מסעדה ים תיכונית,"דגים , חומוס , מזון בריאות , סנדויץ' ושקשוקה",null,053-4274173,https://images.rest.co.il/Rests/staticmaps/80240117/s1w566h250lon34.756402lat32.052898.png
פיצה קיטשן,"פיצה קיטשן, קניון עזריאלי, תל אביב  קניון עזריאלי","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",פיצריה,null,כשר,053-4247168,https://images.rest.co.il/Rests/staticmaps/80242132/s1w566h250lon34.791061lat32.074354.png
עוזי וגלית - Uzi & Galit,"עוזי וגלית - Uzi & Galit, צפון תל אביב","אהרון בקר 8, צפון תל אביב",בית קפה,null,null,03-6446050,https://images.rest.co.il/Rests/staticmaps/70199530/s1w566h250lon34.816378lat32.123127.png
הג'חנון של ימימה,"הג'חנון של ימימה, רמת החייל, תל אביב","קם, רמת החייל, תל אביב",מטבח ביתי,null,null,052-6996353,https://images.rest.co.il/Rests/staticmaps/80298797/s1w566h250lon34.834021lat32.116036.png
RIVER,"RIVER, תל אביב","יגאל אלון, תל אביב",null,null,null,*6969,https://images.rest.co.il/Rests/staticmaps/80322879/s1w566h250lon34.778934lat32.066236.png
שי1,"שי1, תל אביב","בבלי 15, תל אביב",null,null,null,03-7532413,https://images.rest.co.il/Rests/staticmaps/80246627/s1w566h250lon34.798582lat32.094087.png
צ'ירס פלורנטין,"צ'ירס פלורנטין, פלורנטין, תל אביב","ויטל חיים 13, פלורנטין, תל אביב",פאב-בר,null,₪,053-9378510,https://images.rest.co.il/Rests/staticmaps/80108862/s1w566h250lon34.767908lat32.056034.png
הבה נרגילה,"הבה נרגילה, תל אביב","שרירא גאון 2, תל אביב",פאב-בר,null,₪,053-9369249,https://images.rest.co.il/Rests/staticmaps/80199811/s1w566h250lon34.764202lat32.048181.png
מרכז הסנדוויץ' הטוניסאי,"מרכז הסנדוויץ' הטוניסאי, תל אביב","הפטיש 9, תל אביב",אוכל רחוב,null,כשר,053-7105125,https://images.rest.co.il/Rests/staticmaps/80252262/s1w566h250lon34.77176lat32.05152.png
חומוס בסאם,"חומוס בסאם, תל אביב","יהודה הלוי 52, תל אביב",חומוס,null,null,053-9369208,https://images.rest.co.il/Rests/staticmaps/80094013/s1w566h250lon34.777762lat32.064955.png
הקובייה תל אביב,"הקובייה תל אביב, שכונת התקווה, תל אביב  שוק התקווה","הודיה 22, שכונת התקווה, תל אביב",מסעדת בשרים,null,null,053-8007354,https://images.rest.co.il/Rests/staticmaps/80300272/s1w566h250lon34.790049lat32.052606.png
מסעדה ללא שם,"מסעדה ללא שם, תל אביב","מלכי ישראל 15, תל אביב",null,null,null,03-7484450,https://images.rest.co.il/Rests/staticmaps/80322383/s1w566h250lon34.778934lat32.066236.png
טעמים,"טעמים, תל אביב","השרון 21, תל אביב",מסעדת בשרים,null,כשר,053-9383798,https://images.rest.co.il/Rests/staticmaps/80226851/s1w566h250lon34.779136lat32.06259.png
מסרקיוי מסעדה אתיופית,"מסרקיוי מסעדה אתיופית, תל אביב","נוה שאנן 24, תל אביב",מסעדה אתיופית,אוכל אתיופי,null,053-9387938,https://images.rest.co.il/Rests/staticmaps/80320439/s1w566h250lon34.778934lat32.066236.png
גוסטו - Gusto,"גוסטו  - Gusto, תל אביב","פרישמן 90, תל אביב",מסעדה איטלקית,אוכל איטלקי ופיצה,₪₪,053-9367725,https://images.rest.co.il/Rests/staticmaps/80054273/s1w566h250lon34.779799lat32.079403.png
סושי לימור הפתיחה בקרוב,"סושי לימור הפתיחה בקרוב, תל אביב",תל אביב,מטבח ביתי,null,null,053-9370333,
סביח עובד,"סביח עובד, דיזנגוף, תל אביב","דיזנגוף 85, תל אביב",אוכל רחוב,null,כשר,053-6113543,https://images.rest.co.il/Rests/staticmaps/80316476/s1w566h250lon34.774326lat32.077192.png
טנג'יר - Tangier,"טנג'יר  - Tangier, תל אביב","יהודה הלוי 93, תל אביב",פאב-בר,null,null,053-7931739,https://images.rest.co.il/Rests/staticmaps/80174298/s1w566h250lon34.777954lat32.065291.png
איציק עוף בגריל,"איציק עוף בגריל, תל אביב","ירמיהו 52, תל אביב",אוכל רחוב,null,כשר,053-9439657,https://images.rest.co.il/Rests/staticmaps/11411260/s1w566h250lon34.778191lat32.094956.png
בנדיקט,"בנדיקט, מתחם שרונה, תל אביב  שרונה מרקט","אלוף קלמן מגן 3, מתחם שרונה, תל אביב",בית קפה,null,null,053-9381097,https://images.rest.co.il/Rests/staticmaps/80220845/s1w566h250lon34.787057lat32.071492.png
ביגה - BiGA,"ביגה - BiGA, תל אביב  TLV FASHION MALL","קרליבך 6, תל אביב",בית קפה,null,כשר,053-9376079,https://images.rest.co.il/Rests/staticmaps/80269258/s1w566h250lon34.783315lat32.067903.png
ניני האצי,"ניני האצי, תל אביב","בן יהודה 228, תל אביב",מסעדה אסייאתית,null,כשר,053-6130798,https://images.rest.co.il/Rests/staticmaps/80178589/s1w566h250lon34.774678lat32.092202.png
מרקט,"מרקט, תל אביב","המלך ג'ורג' 31, תל אביב",מטבח ביתי,null,null,03-7445550,https://images.rest.co.il/Rests/staticmaps/80145060/s1w566h250lon34.773423lat32.07196.png
Otello,"Otello, תל אביב","הרצל 12, תל אביב",בית קפה,null,null,03-6229221,https://images.rest.co.il/Rests/staticmaps/80328017/s1w566h250lon34.778934lat32.066236.png
